Pool_ID,FloodedAt,Shading,Treatment,w7,depth_avg,sa_cm,sa_m,volume_ml,volume_L,min_lip
2,7.57,Shade,Control,0,7,5032.831,50.32831,35229.82,35.22982,1
5,9.05,Shade,Control,0,18,2131.571,21.31571,38368.27,38.36827,4
13,6.44,Shade,Control,0,24.5,3506.017,35.06017,84144.42,84.14442,0
47,5.87,Sun,Duckweed,2,16.75,2572.964,25.72964,41167.43,41.16743,2
48,5.4,Sun,Control,0,27.5,2676.637,26.76637,72269.2,72.2692,1
60,16.69,Shade,Duckweed,8334,19.5,1006.095,10.06095,19115.81,19.11581,2
61,12.66,Shade,Duckweed,35,14.5,6247.057,62.47057,87458.8,87.4588,3
62,12.66,Shade,Duckweed,0,37,1796.991,17.96991,66488.67,66.48867,3
65,11.27,Shade,Control,0,18.75,34636.059,346.36059,623449.062,623.449062,18
75,6.96,Sun,Control,0,35.25,3525.65236,35.2565236,123397.832,123.397832,4
76,6.96,Sun,Control,0,13,989.601686,9.89601686,12864.8219,12.8648219,2
89,7.57,Sun,Duckweed,0,48.5,22690.9383,226.909383,1089165.04,1089.16504,1
121,5.4,Sun,Control,0,55.625,5478.15219,54.7815219,301298.37,301.29837,2
123,5.4,Sun,Duckweed,0,25.3125,6149.66762,61.4966762,153741.69,153.74169,1
126,5.4,Sun,Duckweed,0,48.5,4325.97308,43.2597308,207646.708,207.646708,1
134,5.87,Sun,Duckweed,0,19.375,10169.3354,101.693354,193217.373,193.217373,2
135,6.96,Sun,Duckweed,0,27.375,4865.54162,48.6554162,131369.624,131.369624,2
146,5.4,Shade,Duckweed,0,19,9005.37534,90.0537534,171102.131,171.102131,2
159,9.05,Shade,Duckweed,209,11.75,1771.858,17.71858,19490.44,19.49044,3
180,5.4,Sun,Control,0,17.5,1950.92904,19.5092904,33165.7936,33.1657936,3
241,5.87,Shade,Duckweed,0,41.75,13665.93,136.6593,560303,560.303,2
281,6.96,Sun,Duckweed,0,45,3782.478,37.82478,170211.5,170.2115,2
288,8.22,Sun,Control,0,30.75,6942.92,69.4292,208287.6,208.2876,13
291,7.57,Sun,Control,0,14.375,5398.042,53.98042,75572.58,75.57258,5
310,9.05,Sun,Duckweed,0,50.25,1790.708,17.90708,89535.39,89.53539,5
323,6.96,Sun,Control,0,20.875,35342.9174,353.429174,706858.347,706.858347,3
329,10.18,Sun,Control,0,13.75,1055.575,10.55575,13722.48,13.72248,1
399,5.87,Sun,Control,0,15.25,1283.341,12.83341,19250.11,19.25011,1
467,8.22,Shade,Control,0,5.25,8364.49,83.6449,41822.45,41.82245,2
468,8.22,Shade,Duckweed,43,8.75,2120.575,21.20575,16964.6,16.9646,2
472,11.27,Shade,Control,0,10.75,18598.2285,185.982285,185982.285,185.982285,0
487,7.07,Shade,Duckweed,272,9.625,5717.69863,57.1769863,51459.2877,51.4592877,6
489,8.22,Shade,Control,0,4.625,2532.12368,25.3212368,10128.4947,10.1284947,3.5
511,5.87,Shade,Control,0,32,2026.327,20.26327,64842.47,64.84247,5
533,7.57,Shade,Duckweed,22578,16.25,4660.553,46.60553,74568.84,74.56884,2
559,5.4,Shade,Control,0,19.25,4655.84,46.5584,88460.97,88.46097,2
622,5.4,Sun,Duckweed,0,19.5,2915.398,29.15398,55392.56,55.39256,1
630,12.66,Shade,Control,0,37.75,4926.017,49.26017,182262.6,182.2626,5
652,5.87,Shade,Duckweed,53,36,1602.21225,16.0221225,57679.6411,57.6796411,0
687,8.22,Sun,Duckweed,0,19,3023.783,30.23783,57451.88,57.45188,2